post_shortcode,commenter_username,comment_text,comment_likes
DFXG2mXoGj6,<Profile mister_abid (48873885697)>,Starting me sahi tha bhai :face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile z_raghuu (15909186585)>,"Nowdays, Deepseek ka traffic >>>>>Ezsnippet ka content",607
DFXG2mXoGj6,<Profile unn.social (16029583216)>,"Nahi le raha .baat baat pe toh 'its beyond my capacity, ask something else ' boldeta hai:face_with_tears_of_joy:",19
DFXG2mXoGj6,<Profile kaashviiiiiiiiii (50942388911)>,Bro knowlege day by day :chart_increasing_with_yen::chart_increasing_with_yen:,1888
DFXG2mXoGj6,<Profile jagrut2006_rana (44405042833)>,Thanks bhai :saluting_face::face_with_tears_of_joy:,21
DFXG2mXoGj6,<Profile rugvedd__ (2207285979)>,:U.S._Outlying_Islands::OpenAl :China::Deepseek :India::Astrotalk,0
DFXG2mXoGj6,<Profile cryptoswadesh (566869310)>,Serious about to making ai agent please explain...?,29
DFXG2mXoGj6,<Profile thebearded.engineer (65068004763)>,But Never forget who was there for you at your Lowest ~ChatGPT :people_hugging::red_heart:,47
DFXG2mXoGj6,<Profile navneet1206_ (68968830667)>,Are deepseek ka server crash ho rha baar baar bahut jyada trafic hai. Mai do din se use nhi kar paa rha pata nhi itte users kaha se aa gye mai akela mast use krta tha kisi ko nhi pata tha ye :crying_face:,121
DFXG2mXoGj6,<Profile sennu_ofc (48765292903)>,"I've been part of the testing program for Gemini for a year, and trust me, Google is working on something big. No one, not even ChatGPT, will be able to compete with Gemini.",101
DFXG2mXoGj6,<Profile a_chauhan490 (46682997175)>,"USA - Chat GPT 
China - DeepSeek
India - Course on how to use them",13224
DFXG2mXoGj6,<Profile shoaib_x7 (7613187590)>,Chinese Al Deepseek have 50'000 Nvidia H100s Despite USA Sanction,7
DFXG2mXoGj6,<Profile 1jaalim_duniya (71192201739)>,Deepseek AI ne pure America ka stock market hila diya :face_with_tears_of_joy:,107
DFXG2mXoGj6,<Profile silver.oxo (63200330991)>,Ye ladkiyo ki videos kya aap khud scroll karke nikalte ho??? :face_with_tears_of_joy::face_with_tears_of_joy:,16
DFXG2mXoGj6,<Profile ayush.thakur1107 (57748473929)>,Try asking list of states of india:face_with_tears_of_joy:,1
DFXG2mXoGj6,<Profile 1jaalim_duniya (71192201739)>,"When our government and opposition think about to invest in Ai and new technologies rather than caste ,miniority and women appeasement freebies politics.",17
DFXG2mXoGj6,<Profile nitishbhosale7 (4527185070)>,"ChatGPT is trying to replace devs, now DeepSeek is trying to replace ChatGPT . Karma returns :face_with_tears_of_joy::face_with_tears_of_joy:",2
DFXG2mXoGj6,<Profile okay.arpit (556380583)>,"Billion Dollar - Question puch answer le. Million Dollar - Server is busy, please try again later",2
DFXG2mXoGj6,<Profile gtm_harsh (17191922235)>,North-East India ke baare me nhi btata ye kuchh bhi,1
DFXG2mXoGj6,<Profile charan_3316 (45222033825)>,Just search who is china’s president? And Is china curbing the human rights? And let me know the answer :face_with_tears_of_joy:,35
DFXG2mXoGj6,<Profile itz_me_charan_1718 (65328064107)>,"Ask DeepSeek this: ""List the states of India,"" but it won't reply:skull:",1
DFXG2mXoGj6,<Profile adithya_sy_ (60511300483)>,Think about people doing chatgpt course right now :skull:,0
DFXG2mXoGj6,<Profile jashan.chahal8 (2054134345)>,Bhai wo ladki kaha gayi?,3
DFXG2mXoGj6,<Profile riddheshdongre (47887205130)>,"But Bhai, DeepSeek Full On Chinese Propaganda Se Bhara Pada Hai, Maine Baas DeepSeek Pe Pucha Ki ‘What Are The States In India’ Jaisa Hi Arunachal Pradesh Ka Naam Seedha Bola, Sorry Thats Beyond My Current Scope :face_with_tears_of_joy: Like WTH. It’s Really Not That Worth It",48
DFXG2mXoGj6,<Profile jatin_bisht_18 (4313641603)>,India - Astrotalk :yawning_face:,1
DFXG2mXoGj6,<Profile fouzan.jpg (8203885088)>,Pr bhai indians to Chinese cheezen use nhi krta :face_with_tears_of_joy::face_with_tears_of_joy:,2
DFXG2mXoGj6,<Profile nicsnikhil28 (4761585220)>,Ask anything negative about china or Arunachal Pradesh and then see the results :face_with_tears_of_joy:,2
DFXG2mXoGj6,<Profile 96commando (44605672058)>,Deep down I want to use Deepseek badly but unfortunately it's Chinese so we won't:hand_with_index_finger_and_thumb_crossed_light_skin_tone::skull:,2
DFXG2mXoGj6,<Profile siddhant.dhandhania (3548129155)>,Lekin China!!. So what about the data and privacy and safety?,1
DFXG2mXoGj6,<Profile startupbaniya (64851016073)>,arey arey dhakka to mat do yaar :face_with_tears_of_joy:,2
DFXG2mXoGj6,<Profile anyarayleigh (67156697741)>,Just go through Deepseek r1 documentation it's awesome,2
DFXG2mXoGj6,<Profile usva.thv (7051101534)>,@zaqi.ak47,1
DFXG2mXoGj6,<Profile mi_manmath (2287338364)>,"Using it better than chatgpt but I have some concerns related to security, it will not give any answers related to China or Taiwan.",0
DFXG2mXoGj6,<Profile arusrivastava_ (2312013475)>,I cannot access DeepSeek yet!,0
DFXG2mXoGj6,<Profile jari.husain (56593282636)>,@__krishnachauhan__ try it tomorrow,1
DFXG2mXoGj6,<Profile dip_chakraborty018 (16685340173)>,@____simplyhumanic__,0
DFXG2mXoGj6,<Profile sir_amigos (38277081581)>,Bina coding ke app kaise banaye:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,3
DFXG2mXoGj6,<Profile mananagarwal6306 (11456900000)>,Ask deepseek what happened on 15 april 1989,3
DFXG2mXoGj6,<Profile rkc.zira (1597239488)>,"Bhai bhut padh liya, ab to reel scroll krne de :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:",1
DFXG2mXoGj6,<Profile adwait.db (7984049333)>,Cyberhub :rolling_on_the_floor_laughing:,1
DFXG2mXoGj6,<Profile iam_poorvi_baghel (49211139287)>,"existing architecture ko optimize karke made just a well ai model as ChatGPT. Ek toh already OpenAI is facing internal turmoils, this might just takeover",2
DFXG2mXoGj6,<Profile aditi_._perspective (38807845401)>,Search is there in chatgpt bro,1
DFXG2mXoGj6,<Profile shubhamm_1223 (57381575476)>,Guru ji :face_with_tears_of_joy:,2
DFXG2mXoGj6,<Profile nickhil.sawai.art (2338936662)>,Astrotalk is way better :face_with_tears_of_joy:,3
DFXG2mXoGj6,<Profile alphabat_08 (5705555762)>,Tell me you are an indian without telling me you are an :face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile high_by_the_sea (1340294604)>,Chup be lodu,4
DFXG2mXoGj6,<Profile _caspian_moon (2329400244)>,Bhai prayagraj kab ja rhe ho :raising_hands:,1
DFXG2mXoGj6,<Profile annii_16.2 (71569749649)>,Jab Narendra modi daal raha hu toh sab aaja raha hai aur agar xi Jinping daal raha hu toh kuch nahi aa raha :loudly_crying_face:,1
DFXG2mXoGj6,<Profile shariqahmad866 (8587230116)>,Through the plus icon in app you can add images!,1
DFXG2mXoGj6,<Profile rn.majagaonkar_51 (5812271120)>,I won't leave my bro(Chatgpt) in his tough time :raising_hands_light_skin_tone::heart_suit:,1
DFXG2mXoGj6,<Profile stock.traders_club (68761911466)>,Bhai yeh sikha ke he manega :loudly_crying_face:,1
DFXG2mXoGj6,<Profile ak_nksha_2 (18963148088)>,DeepSeek easily got the problems comparatively chatgpt and gives the more exact and expected output. Rest is yet to come,1
DFXG2mXoGj6,<Profile prabhat.rockefrek (38177620920)>,What about security and data issue? :smirking_face:,0
DFXG2mXoGj6,<Profile a4niiii (51365881435)>,Which one is best ???,1
DFXG2mXoGj6,<Profile kartikchhabraa (4243619396)>,R u sure images and attachments nahi hi skti add?,0
DFXG2mXoGj6,<Profile formaly_ (55218162062)>,"bro ask it ""list all states of India""",1
DFXG2mXoGj6,<Profile amyt.ig (64121581122)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,1
DFXG2mXoGj6,<Profile aadarsh_._._kumar (3014399830)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,1
DFXG2mXoGj6,<Profile rajat.pandey_45 (44814452331)>,Chatgpt ki job bhi secure nhi hai AI hokr bhi :slightly_smiling_face:,1
DFXG2mXoGj6,<Profile shreyxnsh.g (62962026664)>,deepseek ka api bhi free hai kya??,0
DFXG2mXoGj6,<Profile prathamesh._.barhate (6694121226)>,Deep kya?,0
DFXG2mXoGj6,<Profile sharma__nik_ (5372459778)>,Basically CHATGPT lost it's job to another AI,3
DFXG2mXoGj6,<Profile nandanikr07062025 (71735575261)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile amxn_.07 (7369443423)>,Lekin hme to Astrotalk bnana he...:beaming_face_with_smiling_eyes:,0
DFXG2mXoGj6,<Profile saksham_ar46 (68936107036)>,Now this is some good A. I (let me try it),3
DFXG2mXoGj6,<Profile quackian (14790368765)>,Broadcast link??,1
DFXG2mXoGj6,<Profile dev_sharma.19 (44503326797)>,bhai china ka app hai :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: bhut jaldi hi ban hu jayega:face_with_tears_of_joy::face_with_tears_of_joy:,32
DFXG2mXoGj6,<Profile pnkj__99 (6068991850)>,It is literally very smart than gpt bro....:smiling_face_with_heart-eyes:,1
DFXG2mXoGj6,<Profile piyush.turkar.90 (44228546834)>,Taiwan is country,1
DFXG2mXoGj6,<Profile shaw_bittoo (29402694222)>,Bas communist party ke bare me kuch mat puch lena,1
DFXG2mXoGj6,<Profile gpt_shuja (1712940545)>,Main programmer hun bhi nahi na hi banna hai phir q ajata hai ye,1
DFXG2mXoGj6,<Profile imran.kalakar (31634402916)>,:face_with_tears_of_joy::fire:,2
DFXG2mXoGj6,<Profile ayushgupta7434 (8383375189)>,Hype banwa ke ye bhi crash krwa diya ab :face_without_mouth:,2
DFXG2mXoGj6,<Profile hehekaushik (33751902960)>,me with 6 CGPA thinking AI will take my Job,2
DFXG2mXoGj6,<Profile nourishcw (7565974524)>,Its opensource. Just give 1 month chatgpt will copy it and make even better ones.,1
DFXG2mXoGj6,<Profile piyush_paul_ (13749564312)>,Chatgpt losing its job to AI before GTA6,1
DFXG2mXoGj6,<Profile rahuldanand_ (31555098)>,Half the time I am getting Server Busy error. :crying_face:,1
DFXG2mXoGj6,<Profile _rohitsoni (1835725569)>,Bhai china se hai ye to data privacy ke koi issues?,0
DFXG2mXoGj6,<Profile ayushranjan.01 (50194594269)>,Usa lost 25% indian GDP in a day,8
DFXG2mXoGj6,<Profile anurags12 (3573878717)>,Deepseek vs Claude kr. Gpt already peeche hai,3
DFXG2mXoGj6,<Profile harsh_x_protege (55052588824)>,This proves why company culture is imp if you know you know,4
DFXG2mXoGj6,<Profile beni32 (1094075700)>,:face_with_tears_of_joy::face_with_tears_of_joy:,1
DFXG2mXoGj6,<Profile 050_gautam_000 (49879303001)>,:India: : astrotalk,0
DFXG2mXoGj6,<Profile abhinav_rai_00_ (48974598223)>,@ezsnippet bhai hamko text-to-speech free ai batao please. It will help me a lot for automation.:crying_face::crying_face:,0
DFXG2mXoGj6,<Profile im_yourss2.2 (70967636556)>,Meanwhile india has Astrologer :star:,2
DFXG2mXoGj6,<Profile ___mariaamm__ (44540932176)>,But it's too slow,0
DFXG2mXoGj6,<Profile beaftab (4108413815)>,Bhai ek baat Bata ye padai kab khtm hogi?,0
DFXG2mXoGj6,<Profile amanreacts (64143369714)>,mujhe pta tha humla karega,0
DFXG2mXoGj6,<Profile smitpatel._.2205 (6869072088)>,Idhar insaan ko job nahi mil Rahi aur udhar ek AI dusre AI ki job khaa raha abhi se :loudly_crying_face::loudly_crying_face:,5
DFXG2mXoGj6,<Profile masif.raj.71 (49601947795)>,India- Astrotalk :fire:,2
DFXG2mXoGj6,<Profile _prasannaisireddy_ (5423537957)>,"I one of your older videos, I think you were more inclined towards chatgpt and also mentioned that you find chatgpt much better to use and efficient. Isn’t the true?",1
DFXG2mXoGj6,<Profile niks_ran (2879071789)>,Your data is very saved with china govt ..all the best :grinning_face_with_smiling_eyes::face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile mcpeking18 (46867402037)>,"but ek doubt hai
deepseek ki fastness is due to less traffic right?
ab itna fame milgaya to ofc jitne bhi gpt users hai they will try it and ofc traffic hoga and ofc it will slow down and ofc to counter it they will require those crazy ass expensive gpu from nvidia and security so they dont just get cyber attacked like today tbf closed ai se better hai",0
DFXG2mXoGj6,<Profile male.philomena.cunk (65216558430)>,Her @,0
DFXG2mXoGj6,<Profile pragatipathak___ (4685187375)>,:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile _nikhi6 (50069386318)>,"Bro this video skipping the girl was worth it , because information is too good :smiling_face_with_smiling_eyes:",1
DFXG2mXoGj6,<Profile i__m_k_s (3097930204)>,ChatGPT is the first AI which is replaced by AI,0
DFXG2mXoGj6,<Profile gogo_animalrightsactivist (4910363436)>,:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile ubaid_mn (35946262465)>,Bhai tu cheating krta hai :raising_hands:,0
DFXG2mXoGj6,<Profile curenikhil (66439684079)>,moti thigh feeling vibes,0
DFXG2mXoGj6,<Profile chaitanyayechuri01 (8256878471)>,What India is create tutorials for these OPENAI's will never create anything real and original :crying_face:,0
DFXG2mXoGj6,<Profile the_farright_guy (57711636032)>,Bhai tum bhi bnao India ka A.i,2
DFXG2mXoGj6,<Profile _govind_mewada (49037215968)>,Ye Ai anarc watch me kab tak ayega :grinning_face_with_sweat:,7
DFXG2mXoGj6,<Profile bhaveshpchavda_ (33840023216)>,AI Lost job because of AI,3
DFXG2mXoGj6,<Profile mai.bhi.tripathi (55095965067)>,Respect ++,0
DFXG2mXoGj6,<Profile sv55301879 (71488558887)>,"Bhai arunachal kae baare Mae pucho, yugur muslim kae baarae Mae pucho and Taiwan kae baarae Mae pucho.",3
DFXG2mXoGj6,<Profile _amk06_ (2012134186)>,Abe bhadve terko sharam nhi aati ladki ko dhakka dete hue:crying_face:,9
DFXG2mXoGj6,<Profile geekyaman (7315856209)>,We do use images now as well!,0
DFXG2mXoGj6,<Profile technotrader4404 (49106627383)>,Bhai ek bar indias 28 state ka nam puchana usse,0
DFXG2mXoGj6,<Profile s.u.m_i_t.d (56313447452)>,Its context retention is pretty low... At least lower than chatgpt,0
DFXG2mXoGj6,<Profile woke.poltergeist (64412418570)>,bklllll,0
DFXG2mXoGj6,<Profile thedevanshgupta (4691783717)>,BKL,0
DFXG2mXoGj6,<Profile dm_for_millinaire_indore_tikte (14188648218)>,Iski dp dekh le scroll kr deta hu,0
DFXG2mXoGj6,<Profile arya_khenat (66384514817)>,Elon might buy it :man_shrugging_light_skin_tone:,0
DFXG2mXoGj6,<Profile nandinisingh070 (34740880488)>,ur Editing skill is too good :fire::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile arifhussain5932 (9273651123)>,@ezsnippet Bhai Thora SA to larki ko dekhny dety :face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile raj.upperindia (4868381458)>,Chatgpt Ki job kha gya deepseek:squinting_face_with_tongue:,0
DFXG2mXoGj6,<Profile a.mal1k (2944207505)>,Bhai gande gande reel dalna band krde,0
DFXG2mXoGj6,<Profile rishabh.p_2260 (10976872728)>,"Just search ""List of States in India"" on deepseek :skull:",0
DFXG2mXoGj6,<Profile lucky_the_morningstar (36024068965)>,:fire::fire:,0
DFXG2mXoGj6,<Profile memes_by_memeologist (49575118729)>,Her @ ? @ezsnippet,0
DFXG2mXoGj6,<Profile cnoph_ (47431671254)>,China ka maal use nahi krte hm:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile twinkle_2109 (1972216493)>,Aadhi aabadi abhi ChatGPT nahi janti hai aur bechare ki job bhi chali gayi.,0
DFXG2mXoGj6,<Profile gau.rav8155 (50061836739)>,Editor ki ma ki chu*:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile naveen_461 (6036309286)>,Hatt teri maa ki chut,0
DFXG2mXoGj6,<Profile prakashpradhan03 (8738723391)>,Han chutiya paisa leke china product promotions kar,0
DFXG2mXoGj6,<Profile harshil__765 (3501514999)>,It uses reinforcement learning to learn from trial and error and works similarly to human thinking and its one of the tough thing to made but now its possible,0
DFXG2mXoGj6,<Profile agarwalravi197 (48552981600)>,Ek answer to dikha deta compare karke,0
DFXG2mXoGj6,<Profile shantanu_ingale9 (21534357110)>,:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile manojrajput2065 (47717624078)>,I  have tried that one but chatgpt is always open,0
DFXG2mXoGj6,<Profile saumya_kakandwar (3019538764)>,China usa but India when ! That is what everyone asking but forgetting that USA building these through the hardwork of indian engineers too ! But still if india can even start that would be amazing,0
DFXG2mXoGj6,<Profile leg3nd.7z (49298072035)>,I have also made my chat gpt,0
DFXG2mXoGj6,<Profile itz_kawaki_ (49445227167)>,Qwq ke baare mai itni hype kyu nhi thi?,1
DFXG2mXoGj6,<Profile bishal_paul_01 (48566438437)>,Nice intro :face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile nooralam__06 (7683691241)>,Image daal skte hai,0
DFXG2mXoGj6,<Profile karangujjarr_ (31963514350)>,:face_with_tears_of_joy::face_with_tears_of_joy::skull:,0
DFXG2mXoGj6,<Profile ashish_razz0804 (57229224586)>,:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile jaiswal.little (26681533184)>,bro but chatgpt is better,0
DFXG2mXoGj6,<Profile sivajyoti._ (44722732596)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:OG,0
DFXG2mXoGj6,<Profile adarsh6518 (5883410554)>,Server busy hei bakwas,0
DFXG2mXoGj6,<Profile crazy_crazy_edits (64032407808)>,last me course pe aa hi jate h :skull::skull:,0
DFXG2mXoGj6,<Profile self_made_developerr (8073227891)>,Modi ji be like : Bhaiyon or bahano aaj rat 8 baje se deepseek ke link nhi khulenge :face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile ganu_007 (4137559268)>,Itni jaldi course :skull:,0
DFXG2mXoGj6,<Profile kushagra.gangwar_ (5961521531)>,Register krne m issues aarhe hai,0
DFXG2mXoGj6,<Profile chronicles.of.gagan (70641775711)>,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile unprofessional_user06 (3947528383)>,Tho shift hojaye,0
DFXG2mXoGj6,<Profile izhyr_ganai (60169529933)>,Deepseek:raising_hands:,0
DFXG2mXoGj6,<Profile iambijay88 (54977254564)>,Nowadays whether I see these type of sexy videos i use to check whether That's posted by your id or not:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile tradexlav (13024363125)>,Ask it about India border it can't reply . But ask about china border . You will see the difference,0
DFXG2mXoGj6,<Profile iamkajolst (35096593528)>,When Chatgpt can replace by AI then think :thinking_face: what will happen to other people job?,0
DFXG2mXoGj6,<Profile rukanul (66690124238)>,Bhai dokha dua tube :crying_face::crying_face::crying_face:,0
DFXG2mXoGj6,<Profile conc.kmno4 (25511807169)>,Its sponsored guyss:clapping_hands:,0
DFXG2mXoGj6,<Profile naveed.__xx (25698896758)>,Ok thnks,0
DFXG2mXoGj6,<Profile anuj_kadam_07_ (49723550239)>,Aap bhi hatt jao na :face_with_tears_of_joy:,4
DFXG2mXoGj6,<Profile dext.er4372 (50482161017)>,,1
DFXG2mXoGj6,<Profile nitin_saryal (1580368742)>,China is taking all our data. :raising_hands:,0
DFXG2mXoGj6,<Profile 5suny (1456772097)>,:fire::fire::fire::fire::fire::fire:,0
DFXG2mXoGj6,<Profile sanjeev_kashyapa1 (47567355258)>,Utna fast nhi hai. I have used,2
DFXG2mXoGj6,<Profile shubhadipmahanty (46938493026)>,India have Astrotalk :clown_face:,0
DFXG2mXoGj6,<Profile hey_hamma6 (9858117602)>,Teri ma ki saki naka,0
DFXG2mXoGj6,<Profile hey_hamma6 (9858117602)>,Reel ka link b diya kr sara mood khrab kr dia,0
DFXG2mXoGj6,<Profile kulbhowmik87 (62049644216)>,Jatan sah ko ab naya course launch karna padega :face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile innmehul (16899116801)>,Tony stark was able to build this in a cave ahh moment,0
DFXG2mXoGj6,<Profile ishtiyaqreshe_ (5415650393)>,Made in china,0
DFXG2mXoGj6,<Profile ukadicha_m0dak (52275022689)>,ChatGPT bhi jobless ho gaya GTA-6 se pehle :face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile razzevyoo (60241507161)>,Just search (list of states in india),0
DFXG2mXoGj6,<Profile brainiacdrool (70838523708)>,Meanwhile India with astrotalk :clown_face:,0
DFXG2mXoGj6,<Profile oyouknome_who (52155517581)>,Crashing all now :skull:,0
DFXG2mXoGj6,<Profile itsvintagepx (50195002093)>,In speed it is not that fast.,0
DFXG2mXoGj6,<Profile adityaranjan_mishra (39417370155)>,Which is more secure?,0
DFXG2mXoGj6,<Profile _muhammadshahidulhaque_ (65832077701)>,Abe yea b...l... kahi bhi dikh jata hai to gussa aata hai :pinched_fingers_light_skin_tone:,0
DFXG2mXoGj6,<Profile adityaxsrivastava (1615907767)>,:face_with_tears_of_joy::rolling_on_the_floor_laughing:,0
DFXG2mXoGj6,<Profile rbhatia.co (63927736555)>,Arey side ho na,0
DFXG2mXoGj6,<Profile we.willbetter (64686300503)>,But i love copilot :grinning_cat_with_smiling_eyes:,0
DFXG2mXoGj6,<Profile ayush_oyee (57237486014)>,from suckdeep to deepseek:loudly_crying_face:,0
DFXG2mXoGj6,<Profile pravinsuthar_77 (45168983145)>,Sir apko mene dm kiya he plz check kijiye,0
DFXG2mXoGj6,<Profile amvivek800 (53644325088)>,Traffic in deepseek,0
DFXG2mXoGj6,<Profile 444.ashii (47485325101)>,Ai replacing ai :clown_face:,0
DFXG2mXoGj6,<Profile radheverma_1 (50346188069)>,6 million m bna hai iseliye marketing k liye saste influencer le rhe hai,0
DFXG2mXoGj6,<Profile manav_gopal_21 (3995456923)>,"In a few years of news, DeepSeek gets caught stealing data or something like that:face_with_tears_of_joy::face_with_tears_of_joy:",0
DFXG2mXoGj6,<Profile shaanshantanu74 (41327483978)>,Bhai mene pucha arunachal pradesh kaha hai toh nhi bata paya :loudly_crying_face:,0
DFXG2mXoGj6,<Profile _om_panigrahi_ (16020788341)>,Uprse deepseek kaa ye plan bhi nhi tha ki woh ye bnaate ye ek side project bnaya unhone still better than open ai aur market bhi US ka hila daale :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile kisuke_urxhara (43597095315)>,Images dalti hai shayad,0
DFXG2mXoGj6,<Profile a_k_a_ghazi (5712478232)>,Kitni space laita ha yahyaar?,0
DFXG2mXoGj6,<Profile shhivamsahu (7289471375)>,bro skills day by day :chart_increasing::chart_increasing:,0
DFXG2mXoGj6,<Profile dukasur_ (48750473344)>,Edit op :face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile call.memag (61569656680)>,Bhai images dal skte hain,0
DFXG2mXoGj6,<Profile mr_f_a_i_s_u_10 (53904976848)>,Are Neeraj Bhai ye wahi ladki h Jo padne nhi deti. ..acha hua aapne hata diya:face_with_tears_of_joy::face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile aryamaan_chaudhary (7637663323)>,Bhai chal nhi rha keh rha server busy. Isliye insta par scroll karne,0
DFXG2mXoGj6,<Profile abusinan157 (44849329093)>,Ek din yeh  p:registered:rnhub mai b ayaga:face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile saurabh_moharir (2047080769)>,:face_with_tears_of_joy:acche se khiskaya,0
DFXG2mXoGj6,<Profile rudraaaaaa25 (63495018258)>,Video call :loudly_crying_face::loudly_crying_face::loudly_crying_face:,0
DFXG2mXoGj6,<Profile prashaant_ydv (8555307859)>,You forgot to tell that this one  Chinese,0
DFXG2mXoGj6,<Profile departed_wind (42493873085)>,Bklomde,0
DFXG2mXoGj6,<Profile stoic._.nick (8567095817)>,Ask it about Arunachal Pradesh :face_with_tears_of_joy:,0
DFXG2mXoGj6,<Profile bokuno_sbs (8555431166)>,Hahahahahahah bc kya hott bandi thi:crying_face:,0
DFXG2mXoGj6,<Profile prince__02_05 (3282301671)>,Hate u bro,0
DFXG2mXoGj6,<Profile amme_chambie (64709453430)>,Nothing Asians can't do,0
DFXG2mXoGj6,<Profile hassangillani_official (58446577043)>,Bekaar hy deepseek,0
DFXG2mXoGj6,<Profile gaurav____exists (40878214998)>,padhai ka illusion accha bechte ho,0
DFXG2mXoGj6,<Profile itx_zah00r (47904417880)>,No one thought that AI will take job of an other AI :skull:,0
DFXG2mXoGj6,<Profile sastakafka (52812525240)>,Bhenkar padha diya bhai tune to isme bhai sab poora course kara diya reel se,0
DFXG2mXoGj6,<Profile sikander_z1 (42973139448)>,Deep seek sucks :grinning_face_with_sweat:,0
DFXG2mXoGj6,<Profile nikhildager (4108694006)>,China ka maal,0
DFXG2mXoGj6,<Profile alinaqi_110 (4214861919)>,Bhai logo ka to pata nai lekin ye to chat gpt ki bhi job kha gya :grinning_face_with_sweat::grinning_face_with_sweat: wild fire huva :raising_hands:,0
DFXG2mXoGj6,<Profile _.rohittp (9001588942)>,India have astrotalk,0
DFXG2mXoGj6,<Profile n1ck_exe__ (56826241962)>,Vro :skull:,0
DFXG2mXoGj6,<Profile iamadityadubey (58345395429)>,Haan Indian state ke name bhi puch lo,0
DFXG2mXoGj6,<Profile ashif_khn09 (19284965558)>,China ka app kyu use Kiya :nerd_face::index_pointing_up:,0
